id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
5107925;Sorriso (MT);6239123;9120040;12522102;14387658;13748757
5107941;Tabaporã (MT);478024;793263;1319770;1660090;1540339
5107958;Tangará da Serra (MT);3426316;4079362;5584812;4811646;5602200
5108006;Tapurah (MT);876375;1382946;2007623;2367328;2467467
5108055;Terra Nova do Norte (MT);285152;350746;502243;526159;571448
5108105;Tesouro (MT);149522;208883;312770;329492;326968
5108204;Torixoréu (MT);109742;154893;211334;275071;241589
5108303;União do Sul (MT);184450;336589;504202;611917;601637
5108352;Vale de São Domingos (MT);56517;62694;77128;102217;81318
5108402;Várzea Grande (MT);8542481;9042539;9916032;11559596;13984218
5108501;Vera (MT);511175;850060;1291884;1476865;1504304
5108600;Vila Rica (MT);528135;663240;879112;889825;920621
5108808;Nova Guarita (MT);95641;120822;167410;202283;236922
5108857;Nova Marilândia (MT);242898;310951;422820;651212;551799
5108907;Nova Maringá (MT);507471;799339;1204704;1256418;1490869
5108956;Nova Monte Verde (MT);201774;248107;367193;368307;441951
5200050;Abadia de Goiás (GO);189269;261714;353748;405353;477983
5200100;Abadiânia (GO);349499;415403;445369;544312;633025
5200134;Acreúna (GO);670450;796338;1051903;1456803;1188179
5200159;Adelândia (GO);38038;42399;48810;53664;59486
5200175;Água Fria de Goiás (GO);265119;352453;533256;616437;476288
5200209;Água Limpa (GO);47452;55231;63867;66332;74935
5200258;Águas Lindas de Goiás (GO);2023192;2088076;2463488;2814337;3062185
5200308;Alexânia (GO);1028361;981027;1128156;1493905;1832281
5200506;Aloândia (GO);47485;55234;63743;78701;66408
5200555;Alto Horizonte (GO);943152;789934;1280308;737308;623006
5200605;Alto Paraíso de Goiás (GO);220555;220372;297039;402805;408322
5200803;Alvorada do Norte (GO);140043;154912;173153;209335;223109
5200829;Amaralina (GO);69855;88003;109093;110398;124601
5200852;Americano do Brasil (GO);76491;80067;91419;97738;106099
5200902;Amorinópolis (GO);67635;80047;118920;130087;130845
5201108;Anápolis (GO);14095647;15273050;17789474;19393187;20432109
5201207;Anhanguera (GO);18922;20034;21702;23037;26738
5201306;Anicuns (GO);412972;455136;512612;729133;730524
